group,mean_gc_skew,mean_gc_skew_stddev,n
Rhodaphanes,0.011692616308866881,0.1480938482352835,233
Coleochaetaceae,0.025914810898569906,0.12261487512890679,232
Goniotrichopsis,0.007251099941831353,0.14696075973805106,231
Palmophyllaceae,-0.008671782433949952,0.1344757375313324,230
Stylonema,0.008708066574691116,0.14760053963928507,230
Erythrotrichia,-0.01746481690549694,0.13036152939973433,229
Chroodactylon,0.003229744407656015,0.133298042213696,228
Chroothece,0.006431029538988155,0.13984556195898598,228
Rhodospora,0.007975892828513954,0.1271677889928777,228
Schizocladia,0.05241956048002072,0.1400463064408822,228
Bangiopsis,-0.0037670717486709255,0.14447211475592134,227
Tsunamia,8.062483916396459e-05,0.1356725588494189,227
Timspurckia,0.001790577479374121,0.13137516999208385,225
Boldia,0.019672374819666404,0.14294699094093713,223
Olisthodiscaceae,-0.024997426722494796,0.13418144142351318,221
Pterocladiaceae,-0.0020389011569413263,0.1460085781780722,221
Pedinellales,0.010553394533903545,0.13928013952854792,219
Chaetosphaeridiaceae,-0.01100023582440705,0.12937873145010267,217
Mesostigmataceae,-0.005054328853205731,0.14017893258189557,217
Microthamniales,0.019843378654009574,0.12392083407799068,214
Jakoba,0.03764646395645054,0.18467101369805855,213
Raphidophyceae incertae sedis,-0.018585215898005072,0.14112454350814,204
Bulboplastis,-0.010809012050381919,0.1745680078098783,200
Monomastigaceae,0.009728798747278713,0.10268576794764404,200
Xenoturbella,-0.21818876031901832,0.15897843302327316,198
Chrysochromulinaceae,0.030411300958894535,0.12877219474460008,192
Oltmannsiellopsidaceae,0.011027057094505842,0.11226717944749803,190
Diacronema,0.006530766966244758,0.137505017221623,189
Picocystaceae,0.0006956847026750521,0.11585461140231156,185
Prasinodermaceae,-0.006446961208513914,0.11093536648117332,179
Chilopoda,-0.28835151343328236,0.18505884553311094,178
Leiosporocerotopsida,0.0063588539587084774,0.12307513203877399,178
Xanthophyceae,-0.02297921669624352,0.15429070928308916,172
Ochromonadales,-0.006966190325058468,0.14745828478065667,170
Rhizochromulinales,-0.003562238684991,0.12261210513231514,159
Lotharella,-0.03570965310073614,0.1393105620510777,157
Florenciellales,0.01276841701271943,0.12661773776411656,155
Corallimorpharia,0.25724814283736297,0.06244303403716042,153
Hymenomonadaceae,-0.031328572065029044,0.12928656701623994,145
Dictyochales,-0.02998729545575127,0.13122702134664316,144
Pavlova,0.0020850202397362577,0.14595568856790414,142
Gelidiellaceae,-0.012682254864535272,0.14905765390231301,141
Sipuncula,-0.16789638957774516,0.17412487207749114,140
Aplacophora,-0.18727433239842972,0.20040689264002837,138
Oltmansiellopsidales,-0.0134693743665613,0.11739032175272011,127
Axinellida,0.1896143537329587,0.10214893582607573,123
Chondrillida,0.20095980379623204,0.08732025147398678,123
Verongiida,-0.009704005057595921,0.13548239441331789,123
Chlorosarcinales,0.042309539276646574,0.11618913413765165,121
Poecilosclerida,0.30214663590918817,0.10784644542804649,121
Bicosoecida,0.0468607731978052,0.147169165053702,119
Choreocolacaceae,-0.009500691218245715,0.16167052260362855,116
Monoblepharidomycetes,-0.010712855520247987,0.14855956112732943,116
Antipatharia,0.10888346148786783,0.05163412211313162,112
Lyssacinosida,-0.2550420950803391,0.15967235741559124,112
Treubariaceae,0.04893274774818455,0.12656103791217005,112
Chromera,-0.00646486898411036,0.12912090357700032,111
Plasmodiophorida,0.07238167421383115,0.15168610813407468,111
Andalucia,0.02308704175474347,0.1510477813562056,106
Takakiophytina,-0.00954177898820258,0.11131583475288326,104
Histiona,0.038771371663197156,0.11695931594732661,103
Gymnochlora,0.02774038294894006,0.16070791809962284,97
Partenskyella,-0.025246871431430083,0.1659489161655405,97
Reclinomonas,0.09879180249777902,0.1270590895547277,97
Dolichomastigales incertae sedis,0.003962479054389923,0.11564817853348348,94
Tetractinellida,0.22318619764754055,0.08661015124606834,94
Diplura,-0.3725604327118944,0.144801943599835,91
Gymnodiniaceae,0.036676710935917185,0.1289734732403939,91
Nebulidae,0.03577246257090948,0.11476023601086997,87
Bivalvulida,0.31099126702583313,0.16505580756472593,84
Microsporaceae,-0.019356747788612964,0.09755259153446194,78
Chromulinales,0.01264534524471601,0.15349065947894913,75
Euonychophora,0.22624214383829952,0.23188423994254292,75
Loxosomatidae,-0.14185298609780078,0.19798686901595694,75
Rhynchonelliformea,0.20067522094365497,0.26401744069486416,75
Cyclorhagida,0.3888703571869665,0.22910192569782084,74
Monoplacophora,-0.19273571850242335,0.21872526976977685,74
Palaeonemertea,0.19229572264408554,0.1476382424283413,74
Blastocladiales,0.10007430377284333,0.09411793637944804,73
Gruberellidae,0.1431834506630384,0.11257296814958342,71
Isodiametridae,-0.00916931319962003,0.18887114263801902,71
Paravannella,0.27884230619168254,0.12844701532512087,70
Bursovaginoidea,0.013495952788200583,0.31681922647210187,69
Adeleidae,-0.06266171839339331,0.22517746085864396,62
Paramoebidae,0.18386250279664915,0.12470278848165163,62
Cavernulicola,0.0027812129780778873,0.10467708496144176,61
Harpellomycetes,0.01549994289712742,0.16360625073328258,61
Protura,0.19574083124258457,0.25879439950864136,61
Thecamoeba,0.1549999946943142,0.11510497655399492,59
Balamuthiidae,0.12611018451437025,0.09280744492558995,55
Sagittoidea,-0.08575802728040094,0.16361671870833996,55
Ulmaridae,-0.018977766272784448,0.11154061237619743,53
Acrasidae,0.29580815506385477,0.1540661283254895,52
Balanoglossus,-0.2555245918068149,0.15353077019346326,50
Catenulida,0.020034411625200324,0.20143083758585237,49
Lomentariaceae,-0.0047682949744676005,0.1518910411156764,49
Pelagiidae,0.03340781399772398,0.11407734906216135,49
Archiacanthocephala,0.44760289224312566,0.1755123139618465,48
Eoacanthocephala,0.44589139993297205,0.1752613192990328,47
Cercomonadidae,0.13417087916236453,0.08634516863595455,45
Clathrinida,-0.21966159056460974,0.1388498724489157,45
Cryptocaryon,-0.05069097642865716,0.15214494315831736,44
Clionaida,0.25867427336750165,0.08970509033922237,41
Polymastiida,0.23305095153972796,0.08803556083060986,41
Tethyida,0.290894010373531,0.12067940838750003,41
Agelasida,0.16520048957780806,0.11403074081556384,40
Arthoniomycetes,0.06334644997352565,0.14863771859570057,39
Allomalorhagida,0.4057683600913762,0.17077696776410323,38
Stereobalanus,-0.22976460536527732,0.1871862849540425,38
Chaetonotida,0.13053619101757272,0.15049763421840354,37
Glossobalanus,-0.22415878789915056,0.1460629879754694,37
Orthonectida,0.06719201646425661,0.16347440396286314,37
Paratomellidae,0.40921604537064327,0.2243776353953552,37
Phoronidae,0.00392728878219608,0.19098690111857555,37
Phylactolaemata,0.002699395084011805,0.12365152303350778,37
Schizocardium,-0.18493611086011497,0.14811706107214248,37
Cystocloniaceae,-0.04616842068159378,0.20940996613211496,36
Limnomedusae,0.022966979611196467,0.11036389480082043,36
Oxyurida,0.6084772749022102,0.16868426755538457,36
Polyacanthocephala,0.5834585704032881,0.18789420325650824,36
Hexactinosida,-0.20540192229576681,0.14444701570127955,33
Neorhodella,0.18519766357372314,0.09531785731420832,33
Lagenidiales incertae sedis,-0.004527161139463271,0.1451896167548403,31
Legerellidae,-0.06808984269571763,0.22626483419940155,29
Hepatozoidae,0.013155937529290382,0.2015602409788524,28
Rotaliida,-0.17676920705554836,0.13450236854581063,28
Beroidae,0.011593525297885876,0.16536338429425995,27
Multivalvulida,-0.006855560264294229,0.113126935762339,27
Scaphopoda,0.0999404170112895,0.17443840762210408,26
Symphyla,-0.37462732597157483,0.14537776944409392,26
Eurotatoria,0.10242143925708017,0.2835321585112843,24
Myostaurida,-0.04015504822266924,0.1494680013542573,20
Cassiopeidae,0.08690802626990544,0.19865076204189913,19
Mastigiidae,0.07262063295825469,0.17323561578103822,19
Myxogastromycetidae,0.03817364398677934,0.12339850478789938,19
Catostylidae,0.07139638442693078,0.14818908640183354,18
Dendroceratida,0.17736489012420667,0.10617022018862139,18
Heterotrichea,-0.2058463384969809,0.12082726607024864,18
Polypodiidae,0.514761968372532,0.1280631098167093,17
Thysanostomatidae,0.017556972009110276,0.10140180848223268,17
Pleurobrachiidae,-0.14653310577435077,0.14570738304166042,16
Pauropoda,-0.40491099902662814,0.1571388215972331,13
Remipedia,-0.29361144822812507,0.12042515999944554,13
Rozella,-0.028735169130580277,0.3822356946382768,13
Stenolaemata,0.01131949954462771,0.18765213576635661,12
